device,temperature,humidity,encTemperature,encHumidity,totalDevicesPowerValue,hour,ac1,ac2,ac3,battery,nonce,signature
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,35,158073619414119292174434615297943844839557798801612348232681368554384908535291247430152775759682112403139719809906136860652803318882292459025401804132776905456900921159066321094692580793251840333384204794070636342409763866608652400740436585877969410999811774607339244158927314033346073084819099657347150905144359484046586862896304494354014243225591226585765306490784167376549659789945137949693545488690947123479204470339942941703844638141079701465538158246014442790456081378505303396464203503988404240185708798578484101012981481344240256442531809911970024238066460283369699246290697907846162542575734329875746942017480321566830253307654961572741829341519598895468798399666471752335021216806756923333804878366782765679466674317374999277934788854214370796029527845350334784126458221230074468237516002297413474500280267994287966839236134282468960482784153952874735998783973690689103220779493701895814171904603568680529073255495196668549863328933141901126939711241589969404330985840129576690795393241989554311055670441589364277697835565389119439656598056996472225473068909369224129829805430353962815951075433189387542766963942228166648383188608944589043920514746736929347294047664229616542170039434205116806567532484862865814451971986469,134793995149803421503880206182501696606839753298145348299594066031346829983790226310419464685597734916536739406827507173730508299425895236986500519427218882582575716789237557081009510411908616995639052403865398292575785201161051031619574388152783091884640515059699375054148661979310797583425788215113826516376615557807099288263724044861722439291626100965994582521580638023995495716811949242732611661463354347220805194795877648572460576042638088144422932691173786140641016516491285930378062951200783343205552635544143024043009632620546217034216122723009976026378035886018347306642660550367446510306554772527609512079945468734688862425246856898368941387519086393632375539095363729886164613407172647703287226192420385523350332499107572293970328272957338694735421271304657011525789247297619778623549896571057980082960568459984879603884521338320008548972089236945038405117632586669304836741773468521227341777163511022620701637284629073784369439168971654817307250182503867509004576173316573271672544709099293451128405666335723362480906844396191688923198439600594068917922093235669929510713871748262648755928975006839988110127965973466633056997772550252642928652118939125408098489080398853303846822204673636662019037757558393927919157903453,11,8,5,3,3,80,0,"0x750394732d32d9eb14ff2bf07aecaacd81db35f291b1531f3af5890c6d785e5335c95375fba63cdbb77a94c193011ad99524203d951c4e8dd917f74f85e2d9e61c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,34,145322139346213545922764438219794206249691098533965945415324634029225912462949974141320330423572098029452823438133275790935288372333103130990120367086233078811273023330785383796782639156951936969748291897277424398466837423663698029723246287859120301960422463719518500177538669332586905952613050021347694061463828928753723596139688652533326053961371853543600106321433229737758403543288246867265462239044837603680821153925109882650827227986628215572513008978912474661481187807461514357817313245503536707578273242166718544974375171168477610497136381905465759961513237156141598694095199586865022282585482514482556386356852994385311076157803978550214242037725453330203447697752863684862441478198794452389205176353877451104934672112697691277407452618586290178835965639456784177768951336037124112726522876217842258682603802391948072714052071178608396440565216424039507751828689187893234574682841117663728828992159223282184992868001646963373684241382745523047799379504160138531082940554137621133650010515316482960646033780924525616195138376607106667456756881221289394494812837394540105702868906435144330428518534163571149699120612733328247738924425359331454520596855161236680118206164911578096824354687654550060190704369411449063996281932301,562825363667999723984833313439094694813319999756161680561960469027687321811488972356943771574410310067587879629009082876383185765699686024144483748355043674747673799033678426574318084510567162086293865802639476303731384049766036797131759360355543484306408986001098665748293366882613961223637764777985954967902939607098506456477478866476534169349735360213852895488980013135830896342606043488329960651343164595987947857491072665498754734464502963667254389625478411884051787521560382262772601430250019179358145062757385870250788007052091116814050371029399225362509441099443887869023034862119761361396924798068559712637958158602673181592743404232979747278092525978546854786844347384344330059996373484946854988564809739963013973367398993106901527872941876797441464605623652471656579680066914673274888901571996778643825377868357614114205255105515344742756486481740656774716757048716904467189477911193430849019225378221028153406717994820566041793244046566017548666925063539012720859980516275718713677074366535101898115867533341053775878879520223491447430844991004665547933894718720104577235704619286898894585793930959592052755093567292413517870653667022601048810447091671572388709714713389668481315688872244124214417649846114228963239875537,13,9,4,4,5,39,1,"0x811bd7dab6b53b641f849f8e8a828bbc60a640c9cd0007cd153443ce38bae4535579ff24deb2e382b7eb655e1be161208ebb3608b4c959de11313c852314d47a1c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,34,349064940182653015164884799942407156714882592890963863554361073950148340560723175220900509771593218140821341899778987705807288501143124768557355605709387062951766018066050434252933425654315259723701517797690924254924341061942544948728348120917765391230075343225294307395831905536523029428448641859502537045851763372738091417482012427588295608910003111288536400572071372454226811285342749375188448573117202513587008047282289932968273423879950220751757755300803658347122868907100334890732868725116345546088388862900276153530278629345990403703287352894206394085832978632559321781591191356082070390370200300121614167978548899261063767522712206612529063546455251769486057848236815116631228539483584143784063515128817061780010651053608443366543359190384013619595698854903664634496046849942909354141380629149683396739440208892940211228999112651371079269732218794226846134638627977420281563013435230219227797528036225771512786678782982783953149655872799968974626489256632658712482769314286245186526370727743695431814206845366871350078162490687185284514491656374263028765365632496247652315696808927126233529676716784045785173174101656023949617828125264920562202457249132490140614777940552298092226943385328282870587852828633185791832469968120,757948943718964241332957257526192481889705683410905512462634974040730298766296255091939506853884855104572868783801748314435449195043508296989949546992028834243778167398686713136705950168968669741912924077078575362858775510990362264121993557145867237627802874150089480883399624426284718050351221540865625971734844947246434075744878919440604998311227405388592647828635003434968991650549691948433531332556540823870124083189409958874872748752325623302309854609354128485810349692049362399720997398979702423210576063653698023370940717875391133199568145884390056980657605190174583312083022270283419729550864408422615026076324104629316633692793715412843752648333663453667824675785386689347831013358821646573268920885803846240402669782725780937204170882062847019465247137362164349021054073083128575184564895055421858119410780881163692191308764409180931939072063175012740316914598643937600786802423207488594882696144817304413985142173330016897619747486343535635180154354852888985660564618253809853540769155628622365235277653213747411346487241871867795797788930113958282322548583172130471956565922681803315932395248810783996102157052236286278273968693863706033224630599771681591764857407353717855498540081942145087743081364536735780913658769375,9,10,1,5,3,74,2,"0x47abb7f9559a72c2263d8366544c14c9900d5fdf7223070b1868493c9e5dd0ab7642dd3388d1c500565745d6368577d936e051dd652bcd5d0a0c91a773040a891b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,36,291183894265770147985652767332101974454785180335449512488976862247791925760875775253441653777658007603768960886721111636965317417906509794976771462076694163806122043154237521635077942717097018753783120133141712629854718337061154546672147535552474993146299151663754811535519265351498557439324715077500783740705550387851283427795085400782190401671808602333871660132410584513829981558899721759473278291639057860062750105148854936807679557477847845538743738732519543275865708091222519126073405581926174684081701885893342634914953554997889875419030912398932976439001960403001876995040426678230201055718877995400996618123604447361891624385709055547056275358516152324674859631733592625984818214941957354753077744746832095321905944414313584957062526286245888285757937293442167896386995159269182040868302965599790507240851839098366992423694132676972035577525583502013152064794639732803603349648525082073761852704044189097981306444895102195602651976459584108937491349767742012852983605667379117223008681352895888054477171516457624048510947171262975603381331988855882458179175850253297255592567924476343749433614329313287222169439737279927625234588582041815482027368130214539598471265605721934542601295063630487169758424153532538291401603071921,286909172464908265833020188916980715479692347983548990108448000691158287054277809007757717792796286699853657217543069017511423459282874252379109738262101503739041948637162516433349373990345583281670305414393782032389776575770666529277899561284903616081336711182482754503243500622754773225359839501857530633041237833376200293299158475891589610681261569150983029983476056866349822082408330481802307152868550889711467176386337469174765255758818394890522962759465750209679647160549171923917701247739430351452011623198505660363344974051999625948556876709990560438857108958525086403629490354874829306415553483155069932189782435890458659144221317180538860745385709585256124665766707280319660527716992142100027958893233682341767948704951447999623938078987103855323156907413086985946942836984682302307122782930536837621276636393399413263225858036990956904213570361396952386340820980843792643779445056337127489924281715549211554434136363995685837067606561882959134405746383373356443187859483342417185244407475377182903509669936462538201122248163380842163464864590243662317691693684940009689822242505986900070954209345230549619897814425845926040192554931238717473843108142731925200488848513032237462305315707219779765335502145673600767346295303,7,11,4,1,2,64,3,"0x416fca54b1afee2c8645a4d070054c7c76c3b49861ecf1c15feb2f17a070c7184afa294c9c8c94a50a6f16e7f0a8b6881e102f355d1baf9791c5be1fc9ce629c1c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,35,34963400993334921225755027194075660019317647096848223057611261791394551606536961601141408064793060911784050081444560542496310437104406777625512357961054970885520439336829993060416315273791422863056239260013829365536739020194456839576313030326108687388002733082165993782694612930903132610659365532110743733235479738614172147074852889129771668262245085219890236985122480316286671724330795621489853631412226184918205359296301420461358617243525177983392151625492260447295081828184957968040798560504684214076269573149778998066000995911890710505578439352701086915398106716388152464519247346953151038659646731711336691237857945261950530346140824130049874924863207660034410374696784265742120442855298063604758720187452478424986137390498586560727944400191743130589110797348151441473684242204741859310451561096935443327771581013233168452651253510728071403454521650686272518234604890934698354465356200412429508863752274459327433314352631727232036035170096903886104618452105617433970851949203257912663526572013856299134087192892871034001589364779660779103924770265110891893453371248999966625085616403785121369006684652908869916180885250820039956024031682351484610532466576210510569195012478060329035346371991548177171252527951914473340406916331,518938596571634145481236727732510181188018027244051401953921996603656187169834259698838402109861872755376366940092156869509462588506326958823831748062112922362755023392735915184999169918993417350528978449744726536114787593811271160888304993207265429464277998631955532383171998749027500541613174382649205837704529369001999639407913753066989411716776206437077782823277046303436939948570270319011556045426066169256505378365401881806723831888687299895234046440778280506047571748956251958864864854143525932524410418191102266796415084251860569872849537632887160683448968098720601729915319707258827112850898592026804972806327143242091428656303805569094130112896823125563556405151459405343455223687295857023653632382079723537022969835321040726207719319018614764155281849415151433407471697864320367965989660268775758198577130851876712013558273137088805313530854897162497565307460576038564696253531456487939575407394950151598847568485290662731440200635464728815807514221312368599425595585544720888673584099608472104506072924727913591098971814182487012491833381646845402786175833954774512291132876520337548034938542113374351646797051641650891748565176628493538272216439744666112604403223168169025404834002016629404526498789319209239686159413695,10,12,4,2,4,88,4,"0xe9c7adc1d9b0f86bfd3db585a69ff84e1d39530bfd24eb83396dd3d23e89fb7548fae0802d6956c8690b25fe226c32774e8144c62655053a2019cb3555e385981b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,22,35,53923237157003174739139209115396684225006531893726540167394909212243945793145459275107687440523716403324990137282727542799465719745894508384301046962247291812344502242225932997523601591788979942606156564757288202769509500367627685980163830536330289358459367940974980381270445122902114165986415671016246900387654668659166396688198755565267435255995168528437400190814648254699387758032696134732828076910229486548611513274548144713079945927144237273464651420014185166228264734901048101942638574504123473825624377372240172685169284885959137570763881030337277399435269543167658455242063296954373885778500857267883136965323909060872563785987688928475426662958728839751941539337265849261479579730709560887850722795942092000398395627907190248384461135094234005751685696865580555340503960532229033073675088930843863153070713973782607437709825593935548418030615853433913089725111091586042037750047897279807856731011620963107797253765288874410539569427034687292425494125744986727300878804654792376368940660639089502896340830116378467686721197528719653014806045839824338841152370146435888004068777501907806804792384012818393373514085173845304056738880566858403148524721434483274430373259402391907513764062859421028406828408205029508338470824051,85661404005707552076285973271428321688276061461788894711617509279453287735801496132433367213458852123640790312146812444175191434440466928585125373861127054014915908778538675075437289534995543642755155482430657774476172916327511025856477563521115997117422098115235431865666107826843329684832105709299218986851464930133340204793901265234713177399115101535431585419574065709247270095307692736119274256348938439954619968289203123026427165803717668832085566402096054786413525231066627046608510600334773777601402989458891516241312879342037699478153519372167438024310989056742801617628156542612618497648219797038606855981903611223204639822271251134821656251946663122830499517796623446846135839968246082529478371724171709591550078896802148849689895158641556795575625045338400018322251988833665385069375076577977098862989465898264620313181895436386254478294138935568302967547690476071884719706542716408762685436723600541548159995104176109430371246744102503516090212091573669984589915871047365335775090452973216287755868954995938806191667918869897921422298972404450600318015786357976574466423912145334120760715263347397561464359652315522206247720089445987586474468010479173070334721388236102129975728650462965572537210562223407849053921012595,8,13,4,4,0,62,5,"0xef1157738286d41650bfc0f3caaa5b26dba215511f82de4bda62e51c839bb9bd0e9cf29cf18a5c5005a0a2192900736a789b8a1d6dec8030902345dabeece8c41b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,33,181408644711927269384018749773103862160270749203020355730903837447172364028430184459129122077653478490304742391525137064836428539737409162235678462211634956480870400191014990768746280255986109332034386745795121849668418117760074113012344327027878209069943626763283431774310384379528159549152535202981930301369747465545384652903820848015491456045979857361739241570369086582743152104087082792744414627957011704295792183706051145967553795884166471899916869577203272926353948834866880075322353517282695920061828838855489930120190907666999332056489823998734083356354422837227603619366054955108471806468268390922642033068786004712764539706373238484846386494765883940850250651283763508518659988644871132826661811783077155397362743816821320939475661399235517415275996025175069577759131430527935286757185391908721524944904781917952023775099100546070756414353522804539652546215145912449194394350283340695480496623037906032818538382226115459193820834139440637818028197077791981549053892276014158319265644585299052227152341757803499263152821313078804114598152230182936390420885458323550525039831902574380609904957422274134076942575827865181901769555957647260804113914614508972031015447295046080102164904785875383777313667754195814959386045340273,446101128197351944523668889287842842255637939860766419096974766336957441382753193327669735176900102127543921137769458280886989874636405436897876104986321595047707598198787879886144121995617449347260994822860100880283921801192983801402512582639394228994424580104451248373149332380600867818736625656706290404515629588026183708823291433391676742787377418599476155006970809608186661243071933103979936746805335624255722856933129079657060384015102353219939608339463192824699306398725927966367164426880241231325390047115945198802613793873906412588223086396337510610339267572354832217776778738964316480555835536109033533591365035550606607077271264056352439324273284369629093856680234673006052447632338030661379215060961572902522570849591963183478951806515315447395861071529357731542928078469612113047837634739025834071111855985533633474364488328532212373926874833053731748750687197059767633976405996280129269908525228142889647995783389499691044170448696739933361039649980276988557009033917615586295621956260428464219439458282933126173146934703502791962140227809858707167382260054978208070922575742753340105048448608954728998544093131287380905919356537174983760419685908894645253694920669738406921077279679844591231436431335749128615880061879,4,14,1,3,0,62,6,"0x2e9da6ee0a756341c2bfc5a675427e5ff3ff63a54897112a503807a9a4a8c5da6e8feabf833932c5b3fb2d7402d6c05cb6f85e4cb083bc2dfe8256016392c16a1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,31,290712422131507325562577834702188887721790643972578667874262159095378881761286604344791238843793008984804269297763876073731932459340582624203141403098172939293096962376920891560378638166330549568566929611237098410105922588312845520351868669802367033733027884869200108492135158893976966404550940313128746275342851031763672609327793008829996745506154629058363931837859293224527148340738024311183674104523124567900555290113865216398607773231202652968211888841151372589180685120980750281031426783598909301514139345582557446640262915894312166569684418018652609486497710144723982338652231785427120734673718352569762924091598239705108759723409616481013013891950557619291778070877863269992524925607499819354818551020288390888509029015690922103379682648872336809003255141132666812214322679473388005629105007865333191072668519006888793161125339894732477189038891307990723700026490145394532447734173486304172742556725582998279334237365469107256520889436514791998803905865797225395368404261070100652695001911439704758771670432576860352386845862276704919129113594166938099041275496154545366179390925532388962418478591048033245322827087567662846900122444213849103960996922956910676430428784280320885258681246241868860427904896577682275363418690691,417880239057164087066482826198390755239639792725535334517262028651210269624467300246414254870629707484719827080999368718866215969824866999575544310656341569977642859040013103199513089845154387737999231331338833049197453550717137659421311467470652777400579256750530181108497963985480750031850056865542713717739855265806719377504752730484182098247120743728067137012837671160188441832755969271857048574606577367709039449676949366740091577800542834295144999784443909196681143644203770166254872323515794528885809647088668094103223958812534711096181205351574760606545514831618747653518202016610318292903481943059138093931233885844697982804545554279864426364347151380306585283267819058286800821185874597991314878730877176640489301931014237887363836801791727385999716270562504194216389557383652561847789667670280293471928850116078088428559766843896559951496316011403580790369392977879989598286535385665133786083383186942898284332927132975758336403778485504543057019456637333145865682735231752599943826014439991437741408801031685208164464981118254271348438292214903130655801257974380465136266835186987792212601104670356329140197258118011701497032288216009793203672512307198481579391206130461840559697248410130646178812594777044721517430116824,12,15,5,4,3,82,7,"0x8426f619733483f191a45b8509b9ebe4a52514104db8a282676a568bdc8b3acd4b6fb5cb79bee8be33df4aa6b28544dd60d8e3155cfd6d906f5d278ef2538ac81c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,22,39,342426805136225059122164019084966437392278697944574856873063879216073628399049335320416045245016845164624338594773324891184046033609236881137043052286262118597924005016669663402011019456939669907283304251375417009178427030301249152699644053991530135277701333312036087729166245129938593068840184886071667449593583530829256010090793661302517652361912188038388957768780547079257451147942953754614223194748931497529875398189153902172076630826503233035141126690243123868222911203566700640207889093361692514107136816310634519420787895098471733044726586770042369474566567160999935366879892044548810752666635310562919753867202003794082312697084856329542496707100783741861166989816054013140954550807675887200998859597744917506940407575205378188866091926542033804822793656452322093454162970058955328875457996234429716321932491096609677875742427315657221547136486712815941116777489387758213958374809521455771928225123647587868232313928200310391405433810185755283210782320941293330678448062217431483489861696546130561442606364994456320399067918576445752321887090691528986665527928696643061027779518621948019937209467428626651538773803353774548379445931822248872011381059170959000331032171276848929747096303817344578410275736950059777189261778883,489542019378530054844412364068628769448379505255344061499809716667258464275729386813056282103125272687861075148249050367321352817877189034503755738882075658773459737665973846015085145221692202849889222307846228643821677150545158564382839642357883533096774762595485379395998019911918572246866060776592431662826010838469845884900379526797252583740480535597718431024517453157224873565568393072892833678940045816981298435203366933791776915011272833109921918132589253082714320255098751287974492917098639179179748853179063898868279037962131019575928554239285369069541621671854090235530255370771478515916885153014016278152986491710885737909165356090914824506741685229849953188768804145110306067848322877150806415764700923442271238768926455217589512022143137493405816777531411270281411923458097292150299695916617350614543473866227693572872693407451071119266896952362701269222938070092094473652224560864956149768193024789524074579123312828190849850364644157541931338946855338871384496632923413455463252697554696732657294971022467862616371220480425638896955930854610412542529969856744990223909185662438544323902472697172666264204058708642758013668404975924371492670754710439509770658600898548886489292960772462941581366977777740629427247537750,4,16,3,0,1,47,8,"0xdf54e259511668816e4f3215ed46ad4e597a478c05f8a45909e7ace62933b9c4081ef00d9cf60a4cb668d1bd0d94fc9dec4021d3e9884a42fca02ab09c1cbb811c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,23,40,316302084907282895391618546318082200264891195254875339986028014573713262944446966616709011492251991918261843950786959816235988340011086575278597992696414708161528500562855349868452626324881967502114099122505914935453287821569518948433558335652757586624244677914873802940616183094703296446656545001133535462961317751076971980934285224830409096255944281682480644669803477566594207236739467999331881848493832493021117533852942009543722339531084252480394116154682354730130970198769720532045459589112204728699496489011783523564263657795244343315984170648532931999537019478518914447572878757933419005910201629137655837639572855962561044551409820939847870867468321045772389270992814804075712234421927690489256157803099116309470177075036784141125265438628953516620294223260159360327236188749853533238171048078263327178776549197317830044767757180522820733767416542315629958191365286553241134084001515066262517645467545119162107542767748190149824712398682542128203741649768624194559015771826446755754831391526143299767430004253810031612048235951683313108307007535547594278758564735407885153610254223394515830552317027009356930062048481849821575220324006798447506526117888059648610220598789431668872176455992721044931562609092245051113458558040,594547389083967189607038988249810244410105135959866655345371169606112406249155526374659676275033416016897673737249904645686292690888667916695795954669029604511794545143889316220715124719773166739570153133397457394463694463254819111082196060370316008732145593248887693317536590996918707157434329062565391741139164134482478458644515549738757718929105069909298638496508575980517266489270091358006359068077098257483247844376694848190867197420738805096765102250097622568512647521196425092063204378739092809497902837634260630749879102482906235854470671008849044527937500010388222340356097893094774617777179021846767799415434154910956631901365317211891410555580292983644526027916645172627227986119401725357738846251054970024416940080814932888546679306614591669059805790392258597360140387982646127542648147419202101634148362473704382286014031328707520325562791298863509707598150906559496257955480511752218197634877952363044967111640565307288636628112069213425666497105450114820635477461810279636166862072758331554144813406453024734415891753307874782305919342243237402383174225363602465244040489768713105741073925293233334013426872751087589319448499543875813746083158718726224990828659180037450031775244760660655551637691596993051259132408083,5,17,1,3,1,78,9,"0xa4cd15ec5459dd1cb352afd8dc8c082599de71848e9130457f147ee65ce8883663ac2f07cb533da3c2e1e6a39ff31ec6bae2200affea3c5f265cd8b0121bf41d1b"
