device,temperature,humidity,encTemperature,encHumidity,totalDevicesPowerValue,hour,ac1,ac2,ac3,battery,nonce,signature
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,39,578902087545032561356403899241909690942266557298267795602618524936276475485534751857953705705762700685741702230147278360696289559268957321425126317931214679230479416309929106599446668820000579595462028964729064508651737408270576369478564552296008270410805991387834300474813865096463221932205349649633192129092921002194589200635056949803792305309417743227142822930178172064948433050818570582035553635759428657807310090096332541247471591408494834160485759860698224379863488976211732460917111064001960205112878803868473406900198394750523298638097523493752209582651324083906283318958665929109839209117674164897804563320314661702480033476832884879640354073749191008374556390840989713754442684406612713217618295185422244946325940957371502511810053212274035633220762368105957888227311490644226618947710643887349139531042249305810698150381748385793648331351947719415523454070849833681608862843942941232487202510957417266661285096978498184458696888005196810584779953095835670163372663835954343625465283530885172132805812794214842326908628166219517753991296669390550849289356410431151820912193304068291242507261331498356742310429613091050337777642812261649790159778957502689249357926366935767702081478219113002352820271510138650062855513551705,49492084276965616809052900911939794962507828830045190715373417713001753947628025279265086292748093783710504914402177996991734193532227312090820597379224759578472315526893161331913872799992042687155832579547094905308119417150490340612440776818847121236039030075563317314062762001637922635716718899182774084002678678626041298923383679444049111976761556537649974344012925138794941416694413472720793666287742893762304249456250523582552630034395796440277949273816806714218636855287170225367768994412471703932071587588947057234030653929895829915365867443529759570643445837546033927067238954644098986464598966563752223153017065623395389596611450896212559908818468035600522122919944269092196265152766968245831707036005627906029460792581689653933172371087274689368973004232750000683556533610819603295374972279360249230461375128101971876292388593660135542336493352645742319807750046704545072249831760881113201355748837671424058351374659930034903591162188688274463763595119955994933867032144182188614442554543818760336298866986230122360903592636139696945876329747811870970841367106290839559568007346449025530526888144427460502639874997368274044134216799341347990633877506318506547311950072773022864798052453108036352704559071623122958260432317,7,8,4,0,3,91,0,"0xc30675b5dc37d7d2db6b170e9fa8a0689f160fcf211791128520339aa973997475ca385fecca76512e47c828c03600d2ce020d0b5d37e149d58a2572e73a86521c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,30,644384338653349755835235370245180021987135539109249520204879777124661542031818087064085354601273349031994066727079819916735696108959332850930396543063375460552867548352052087797676417100851392366581009286220415725530092440525940781305474601158235300597893199434213817375858284230926732812368580077042757786951711460993141425056727141336315266972009529616845906137165167599099766033857556664722481100913337918979254915851129666799708511590730799246312751814998965835475397528482432509419500221126163181204093122559481778105304703069881499630093759248544534739602981809854790227847794011415029350742792661503127079676976006867065073668849590613641222715597669877308346176456222427743928299565874134514101550559112596269205564021186139103773204667441101379846813851792364093137547755287138065217703085822060806120182782284821865592693556479395552841250860893806023279229106740792474067802132350261064604283570185550254220237881661282736437906499646325409499228299645837744626646464771095589013899797230335056937936456571538525464128274097660995024339821020625878131880597644360321419688388570511269318511244247409684802568356204882103263957175548645331905858540712887384613719502475296229922453672173717439702087623089721706470425786668,258362367055258311934619014267937738385859575964044869461141184410833113489548229260769312302347258107191708585557377247479354855298024845467183602056279961101074109837213157271724756056832017221763945761124007938771207306746963130167601840806123712374234151851094670966421239167358403060858766688315201994835554777536793939013223617887421390813220201552559512715203676923021856980788114100751824492458916343386536807222442511067917769847587853608669512644923666929359027197629255462345826275438246522571933402367014977431983452238858980293111914153789063187060891392653706128561024067752059094798116404284953178063979159523875143306475757278284646975861301643999605550159854422285889634325852948503909641884862025105035290559919121259936643997775202611732194052434205640280073157320647229430566029043846255231202112537448492273706133468172959665640354903888664278913129243897462090346150222290738728784903466616909495439040394218247302132619821442180019732876627297286872722883121563708191500358043052876971356882857030382044394674808266516958539945083840234202494758990753483594589565155273798609539957432475452343587866437162556802147779498765891966665968913021697625702636651284883321238258965706949219184094307166475452690978120,4,9,0,1,3,71,0,"0xe249db1b683c04801d356c70744d77af52300a7926b2edbe53bc8cfa3629edc75345d42f3b5fec2406d81cac279234d5b45f57e0a0c8812dca70da894715d44d1c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,40,472891352224768755826908171181582760523591254710039936963204298777265273922788619223516652699330528917181633069296109678371212269084034316085218201653612740707491750178357278396001907644232099027529754751762806825335507059601967021463037364110609826718976834790864443134517661357237215161735287419111015775822692536786563203186887460197542541037587066514501352742210515043820806518520998238577347369908822218949107811878173899319664167436214871350911583339926647570324461200660168454210147586249164685716287036371261133811409039618289513874720437135377466340382751543142141152391364529995311698673552266887350338469274585221507973758844022068761419110381803249352390929691405297685710378486991689483081939406062395635756267136464399007696696133450198653102068751229196884528610211572703519030399031479448827267881778269642282581343983294954457153052591807428726885662327969683585479060057181078162818966030061601343553417190568947495995293041044314575553962388966234034177333554274064323449878606444537900162741214301745014322636218387322029860464457309964525792356647553637413854935257367404067594636905704357000884929348645459885361215946576892497496152778447943275557604320940478627992281246491137187958543703536328495095920609977,391171435258898226509429146054393739718380889496745359120994868874065296968002788953485643874396957123030690552657717667595341885648462098680994476931736306244424655019939863280867313328089727664920696802637743303651625069236029727432104245584962898683349221485339033525998361425840338801616243324546366650282682637954290381303880673605697050955141478102670011779727499341234375579620740179164809385633339332980584043020648029554809880227463971919183436363009556041790828797667745209198479036663243476352208258533229357984043997846657019000170754430126983750609644708479098668876111635093554343113268346302744627709408541019043841532312297814167651996823005006613323304129188263503324668395214971573319494656921424936192113192786464517762943986659894063457610518764301021323209948122783830630054602413254838467715327520412357090293159620850212923217688080881007737936843111766948573912920176936919913872251950561682490432664595285487141598544310306141232199208108005694488930713489384798087108160629926724708920175693983330792840665720685087886047841756983574940432156851078059659577412787824893041070509346956516389876382791602718742021269670778570144299589864508503394084215488338361074515174923637481429100235344147139186061551190,6,9,0,5,1,51,0,"0x20b1f5011a26332602a8897f8ce3acd82bcd9513daac63eed473a95c19167e92292953d4ea62661ea88293b7d5272b0f3f94b7e9a7313c85f7aa8db2ba6db58c1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,34,647420969438908865602152964458384702133627294930464717922519205428235016495639821911266511876278580735723310011034040461099795616312467843025453016718015418868027868375102053502923232858697218539140462123972118634890876536159143041017312001234902088901312404819063510407866904425746008769762953227116005737783839795390418086510746407460604278294628960660358589168495049130685192971454804277937642688689361707958270938869920576605689939302286724583295252987570107303712848239755713078727165866156061722458827477598769455402735536077277935075239047966573310528535676313992877175801337913803798024875572481419524402398335783341390481681726422086051694760812931059313040330797839196886046849450335470344117334080434338460368129049822781632765384162637645437091898986633936516437681317802122616342011995396968757126865294761166295878614774044366021346625087599889625530326463967421434234808677568161348061757991607944816611439187724120864829197343192132065699418729890012692687711945358956850610750089377704181163110450197147411582685643303213853254769503067099983949624210890832542355905701328350087525392766842011709737492506125967392323349225249993348282182169776883439870420975662527437514338124319930661646593099462984037018424774492,514345638246754943232196140451299525419114783445388423302609145044658911345838906551221225161213726242575890220031784247516850512256790328963933827402063229578155211751222104596457084780668406989536813108379647698301662590810076109203722564892226380482147447194939001470909819953165274058645305379143031102996967496355418518322437828996287258088741494321735979219256400439715194311486960140872450377848729628900806141871934546015052615355049834970504168347530394396436059522958713531765743196702470630223512971136246962426574399415736315743684786385015484827120339965420398631030916614704794674001042261237979998558890881808414054183769114732664865413885866627729592023387621278228054566906933289426106492053042780468222589538616055357627167411295736803565816441527264223555317526435626312110175302378443180741286801029896393746445863423977938326533780193572072204568830683531576455502771835487875750871468481550986649019716508374848441962654080482694639276453726750662266458106972818774784397110441188491318415514678609511414352388417301599879204998129716976268299246723095036145342229544161375533337885473574182495274032051255379503376650505508294443689828765275554565895643581481779229652592906940348100065936700562255066220565921,8,10,0,4,4,34,0,"0xd8bd7f9f952a64552d311d5341636a72c9ca8d8b5306c92da4f9c3661499d1794fbe363dd4ed2e47555f33106ae2c6a0aaf86165b6e541960df8326dd2b9ec871c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,33,592221606555582276412554976520256914852025864794209901421549062815356010249772366154755434694093804081461374494273127617468595221967314086879382388853238203593440898161207957146320181574861941452798619084176832877455274219524698993610099770349287776529011807139143436272906470492411079553635393982081564437768900991046125297451389591948513025437515323175608525343131540804799277496596309389986459479416352153765719719009444560175828581899014880492058507519795779041105751774912727464077512322044154377344111345981148529115477366854427311924043496909338710896094669986305511914414113230505738153952291851314532416046727110503871602667401138897471201991348842791588948364138621385448395502288302881842903562185639501284720414700255139701368791494429379988135695978926573185286242036999728664966968736011805750117078580023292357125385984174766594893945333410930142459554626676065700321239116253344098823889677594531242369247807256855472960729313228988538034272701903689714889191640455661358311987377012829130004345629843075889773122853196853251976592461936821381315861269527244309344994384997667646866697092588714599504757453783588112461440499111101999500679076626370430653990434841583245348892933034490637995901943991261477057385850577,747781694966728410618368481670287513170534212353098703084980588146098649028577994396988001636860528215395551430170141425336703602150124213947109234483569371915332070888207869722251116993718528114807346469687185314162423744132162761619832218712754392449310350207291330648484731484205901830553573025112541402069462237587471853824627404369509439856676932013336551646395688369856443007203102334453099495635311622074503751289263934728143153164000852535562036862340321474889735189801525715431618873262896736691054706158634852631673187722860746448283186070950832560239726391136718520440666286207639753654800290227985739556054764396470351141694226906884932823807099188997947310030131671200938503521009643908642150423645126446359906983755166465819856441706288064036466888543614300198024168965521692728949491808676637262572899307076538065229258366478226625248663428374374877035067708745013830770406513829402403994025667614208916769997523849969609608607342711739710109396332578923259293751444345199891578890542250861981719117173547308977023547394927394106043853377585630415231766626975303785937950894716348745922185681218099744772832303760995494480998821832227463409491483488031919445106941408760492257201915569900603334482480672374685292373443,11,10,5,3,3,90,0,"0xe891f71658581a9b14f262f9ff33ba9c5ca042e147548a203fe67a928cec239e03d473047b31b9460ff1073fc287a2dc00aa2d43efc793412ebf3d0e5992167e1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,39,795162629074176946952602268620078208010009969386402152948097708785469737208387696656818191610401488699311812138982404819609036359898893080041740529950350482291773443165988006055774245461880375533342968342266426664527986806800894537832516466246401959434016143221737686841178871114198753537263659492136368438704149409233977370355391922742106712845980041668032454462846173574866000478589873032595183175188245394275274631889018514844127277338714862213559423709304500975588301170986607787432876205430695517534555229544833622454515879733422796483348248334755179615426094292015947513399718293794338119216594585569405003720527298261655255111483457646035413377072541147646571553995852748394363827961034279959003867296490549408204471315944156661195612516364703717717908686984259117414848850830620900598578655825344281806197964540305181714552137504597965345404006792285444309395397762860925968218368573423244287811047876611849298424906082842491689279838881747955836688729403748181038657638122020101589592856193490930639834828148055057022886818394296162729409493420292715881993387067251774725625356834238797080576468451440867215287233589697604004389588228569732606377036478412274476870623575177601243523802091863461763468458490145146302183716585,192420033784308739997203903462881663794991296727184386053136619592120690680445462147150573427454970199391995463335349680712687311770950236193112690179215226261499553420570994577332039259355796049863220636423840566439350667690708495668079690145758952796050568414631151386181237964580484803672547923147807537876223591512381593537676289951225630187522472992234730390302575629984637835408119832421235599261323718771921260933132794819054472882610765568922431995907591401204933337968256641560045928845230328230587724077437023524524272962879514390156214039279935091935177414456673886144728448850193800893816301753877594573992514874268459069637406507720795409711038312225986045217417614033380415428869663321775240980371947750209287490376029557529047092449660820243135074703299576757284566544931691237789282655625141797965357508463086311318430825816897546837945152353334778277326441276458307063194607119523349440480451808480735847618997582231190242120950407060147800542117449129900867859134152836175933485424767788710151604017454501449125358517822719858076313180134739927071224504220379151028312480427422761192205773235724356066933633285829998793894710893695389776680255314584616045559172319811500989523324979055322800570549969144679692149289,10,11,5,1,4,54,0,"0x5d377ffeae48f6eb627d2fa6d5e7dc47b22579a94715d1478bc6c738d3d7fe927cbc0528a2c85dad1f3a71a1813e58c58f21b6d116e4f3a7a8d2382d447e2ad11b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,37,142908849380366827562621949361069718962325217365369680675339632049315298306182456549973977281329072071273239467991056918035269507136066822018867299221948250238471387031130144730976030783710584437295168841289363025897218177729924774960427001619723350873359460894433299116832543338222029325803796182117713863081280554743454171031500500545293171763345241996831896288194779884646724196680384380111157167123211576187065830592419875656872692756177472437017301285684936415045588818288894703421029034208124379203746084385779294211090259108460755443477213325899180635243272802263708518816353479370458579185656431448685265707868220182492626560836602269311532400845436949036658832108119176341265615527409778775376941097023353200301729267145502064456266432223173098859332749399348336302169388138190893361008608847139779291030826515983580968386110001259740077850059659697902425369869642668745003826992764139376770343040274237579659699436592460642657332538772029043074595293106510234550854553796862649255738752246684426976644169078063960994080304319516484091454327387741548071115679404029998871777425994138358985786174795530802672725527307973657019879964927888698166750359363854193286836699080087572346110104153427844551890699003659098019856757279,32368673937627154007323664456688996451783732030934631036782088809021627945920308313839060428748197784153996677503853485227911567230104280154525250108330021066121515126894079077979596269936125851536165038690434407423279829930058364463277302448834731027171050954196405676003783422875571724271710925237942714441281288224121997962793945534295581778974918815963670313109338123812676855199356636097156243313369373762109527722894522888741568840954970116629443116448573614785332902832225847136101841154138407637522159252043011482856299479153212744970583542083069100418932885708515767730576331162527481555536206989601218063598964729951129975031938548724265129783331096904966778975786091397808673147543598633001296543372314425552731118738396343800121036399297069821818458467040749310177158380517449634754292356936956303205143318390572963933970991451664137083118080174112620478370729173266015844003742997978521558991300460908405612433125635962133966613874558368910082965673931826036306723578961022124350545081050090701762336845675983130517481084278008517092853683716927253651268134690705993295959746076388373267998216957686652788100991928547102715159407601831331709424253401762063156353253280231256500462327046358085738746144650286731430514466,2,11,1,1,0,81,0,"0x0ef74e3d9f2dc4ea759cb8ebdd2094984740814c60a47c45a22b744c44c801245d1ad0d3f693788b01d42554229c76063d222329eccfc6fc32e635c5c02146cc1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,33,408136712585401044588668163052481803453561855276807065820767411572756450572096950442769059357783381378233930536433444807069813910691551547193286862115563848289119791263981781623450539590895757876169250908864434759138271459729079478590945014169322253876742957176256116288129052491503081991357090419855072715231977893929951315750354965047823109341859491293006857395808801119852985550212283495525217585112600025822840727268661894975093828279630305400312067519655662304323596592614385190458784276378643609550556605448821028306833833660588131125402888907642812497584600065846653129429872151214147296366357329691601364449665727325421009913894334506701767665036931724787759984891716894820311349728629850795210584231290164123729558554341479402403971162608807408560142381736674498857794454761054964571915577258326781883927525775737939736591506915451552441654798211502893412971580123011694637392902422829267865643734938513925058478828688946286829867496814466728335429638461074436213104816092045196755398577561431424853964606822909161607154793807806827303998595303101269709810022056224489947344566161988385677777832781789935002675895536210196907370030655894880484454067218471984370560393741716664312628702939729292149132776088399285226311296435,589481616909234431274936022742971043435232082428445212333176169300933479098656047025111684112317930629526555653933578615992648513171441981914151701025942646140635983209133238106659493365448140435881702718975953026655804009709579473079184996558024612818903471023976270514123829849381973963559064766957638544963814776787321420848502584358060499786910844605775546769465751763225105408136930338759591318040676856482058870211300757311839820628433205332056308373648862334279050895365954801102041515478719019030384018433631672170661040719286265305384699028426110451314677281534129480389236001923080055232917303160757511656142561067788373997434030969122578228007703207550436746430957451974421484201748169705953900407033263591649222982444161587873105458392780533385296932888913255875634223138420403138330328381590043481997787866860329778563929496531479762183506096172787323175139041028280958124786958418899733890771509640945873334660411733837017468801563008308180249882248924781933874282424226898188449370422869244248987184231022648293226382235431949219842347295417953269750903864780125303827380258798589570342171603918812085620938130212324605198188771428862636373920125829264106793205917372063910824991688980386670827890866117588038084070654,9,12,4,4,1,42,0,"0x0f1bebd6b62fc97c3a0ebe059e452bdbfe5942bfd0deee0f6806a4a601056aa86baee8762a23a50f7b0a72fe4f7785be0413dd659f39a94f2d59c7ed021b184b1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,31,437022082145974106099115793312325255615947443160243760893880381225391697206753285322019422315094995059084120646167094869770659082682487986615849816375669861986810071357502739792117099334608439461877028466943024796819252932547974290540579133545913450775257860666365498284655172021560380462609405966072273372052480421572196769030603716859900498212726253543095718348816191037431670458550291651062070121150002659696302929728477531588173244689728219583936311773200207753881501813897140895364005307693738561020600696322406980558516033127912568034762286341463586708935834404191769634410187091292779686258777407202375623033441082153656155603576445256437031893583212521649779363365240546497293605216399129720390079203074444127010557409655401814720853791263776317340880098512236882204198944274349622984026763326811268137023406786335260810564983912068870264091650952525322215075257555525802902235288695087348032128159210886999511046405017895964944793771865471281639214079265401777488876120537946048271661996961609430047096390556266947066119363826033104039707056089796122514400172435525154562123404685145284955381369850394136016242875619719031804600653991869791989557281146084435773172929241659729885655001942425443052165682171095386426785132885,289778197054296502205049686050556414798349256736062190653690780792360092538360845552289482430843320897651894695152156790211769801740589573654875150018431691079301552615227272148456619260967287080202045040426563788692032952157987719423670627779359414634269301900230676060635261582905176433725260110621584759985104745867669433202073364915149869800979432525081983619383418789016123004072949257074665451545185486617639899635633427196100594137085709354712661242242625256104175444330709594491819718266985584464878884589235366233619028059161326768304043042170323312609327234715086755504201885258053356536398042461045045576588387830144227357426554907183353410904527407022826590444901905482444509535746138805966937014794900830561969809810746384491848150056427942516155230408325188287494985521815338863970899226464906210741926200785986376379711213811990639242067886896268822255287840988854009398432371237193074232492885269143657082211154490858717070949414156789469940745741788225566903595634499516901801630142857575722713122415180700958756626507935859249003171007376081531932835361377134111175108663565021662273450807038105197020571633331342322258329031820441028399383863870956804382640467697773545995292375304090583626596178183362848114674138,11,12,3,4,4,95,0,"0x9456672b74df40a965497d3a4638d5d2c6fb072b62c2fa8b970f5e16cb0c419b7b5b627c93363d157a1a7ba1e1db07b8a87f0995dfeab053dcfee98dd8519edf1b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,21,39,70346575083727150468789140749264749310453402933034613182673159089937580903269469816817178628181264242428978297435826777230272745286751068769648027407364566259080701680406466561844164560465303072707936024828142660358185765778121182309230956003273214724474755893734447095909591393714923521114808718995026370093161242996298294579062359395704428558280907015399989542962455713581372657941898190141177488991736961473244985342207586523756222837104550718397756220704678792404120283363853651109661716948725419889710189980992108475462845272404967395875788634387694384011089937723485300649131039368173093437986658222611800086930374335984307346660744884084103574817282203104727146658270183958128422208113790334206834237000682773943279338817629404826474723960470194709216339061670527948839830895044340357149318209889429276255638915800497634859846228045524451763779853330475534409785384212174810190700764258188576735512693356706843445126757011048039889116986486243295423386992656215797773446555287036347968254492330960916904364494555191216527306094888550073463539773096425501571675035546925334223427767979293934445511329961189028914104480802171844834686527974487411698671658667894469476664423578938311747238327249256846309045800242523912901274941,332607532890604080395913194244869526361572474079107556318544588044136323110237097063410896611103802156959476485423377268186325840368484426284342955394839816220548289540643118485523341288429491772672084397611572247629069703164176966087383092353528298351387015815260304993966311591460057511249836090962461870298457739622769739247808269427207100366724654530885610067620599228565816309836755385394798764896421230026001435353745752836716792129415158968952313305876690293649603088378290534327600356619276359696396654365816259350128025850196439649009049444220747168493527507648508289168615088670853120132464739111068897789437112283897129657191649562928281534186161212778555205523216970423980916304239691065192748066422451437296245268623335757820761636098371333457779837305435582388540581414527743540838901476657819562619846008906518183719099782503189127825391737183994642907210510140110614600464102123139376454447111345911663602316588157748971386058131266489058541651744758601741395601765290964660102152689109812423258711649644929569266341338789978469985080202584032951103778416531408573533214168477032378165576452698793955146861058401526152243440926395165567359353362823518972610223639835391764504669620188907397230192891647762103659433011,7,13,2,2,3,39,0,"0x2f9e935f2ef653e41802da2f294857be9f7712dc43d1d8e8f4e96961a3aeb6bf40f09a8168d5ad4436911d4173fd75fdf28845b068b25ff29f8d1f62376260451b"
