device,temperature,humidity,encTemperature,encHumidity,totalDevicesPowerValue,hour,ac1,ac2,ac3,battery,nonce,signature
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,30,638225720077796843109855020535881842508560990051780839753590880456469179003002187572699446206398986788366902770736890194204758895591259541871228866016790129129057762314781947032393915967451195691551957988120073746414426514895857188404163036190712651027638316360092371239309685775078796502027438047771692318302510098673367952621745773391219600431375159645686984458490410557440464967523436685695036838717442333721523599738859460659764528690973278718535506766968983150257754765745129694691944181518664118588391155669403434482861827487584142206728196674098344321341665177745550321032080899653445109231839760196713259418596377864656149148332409002034924182923978159564142601562524372629145834733301373866242367357512761486224844151693126696850521220073416497841657897523021855977108366411611213175392486833592120238740464406203259999797019763666822095478143520063463882601312582779149020441750400692751334054905668138254778482787535295463627936168368572657774386001746716864677305492547561356173006591379120875131268072821786922662827452102816953335835188979694486079254362606273476092426712688737167704109076716901555334956998154693839844764805433455504369560866522605544593000693471382652068218904606104792086825788686891582680523396121,795196967045765367813223861271228266537323093335363551366179590506311131112609273677269258550617316952086940028321165998398069423635181223748070314005057774593031623862339713732322185820507267751704824460668965960474412662906511904111864306591504815257716390875037885809391516789019419190895628463339694604488437205726103555730548231591410146297449309640569341251546190413048582374462254023146260796687661693056010236623328230473346693181262120063688407456564284061504996789489276699657683948881730206081974030947648077128776358448754605186599566489169152109284178883544974132947694397690213930091096115231681661949181626260452160300472539731616892811993294218614441363959553621805368016147144989385922586784216355149989865547097748421772706560606831498579998660226160037582100992562872506448932569871495049892869044351475307378579254031476530624681506629843840329865299384952765628703464227511891704165154083275582335000304576439009190784640919484586976676404453827727100359776031895396076993385432198090104202246052823698134280213476321533648248176777734148139889679108874293683031259194024723001012493995840274028178120605223967640956981269487119164926472677151345704603486064585812629963819653792782887801543156755501830694163151,7,8,2,4,1,68,0,"0x770e74a8417b2d7e44f5d347c18f76bbb43874fdf85934ea4168247a45b2300d676bbbab7fc01608ed6adc397bb5b10f58475b8046f416b6adb76ad883998a841b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,33,376367732425998434330442146365479630664303016364247702885492018820201078427620828097414296905447681761865258967550126313120770876047548862224368628413768954688883219756497588152016855213788358692260551436411590352249754077978770750916376666001456951549386526734061286747456606039263983045657051191583420911603380261003056721239322240123154200891945509570503955455726621708345187558889045979586299887710424034393619665749526904634259681011692401880345587523396324309745510384635178187441165662021164568486213003546657925001603791092874986039448236169325497692518615248797398496120622608588054160449321353136145854287517578635808386892555669962344608595644305657416826227550460587893799242660821458687841552480429476032832727463025138138401348556766660521978358185891430385039436861457386966022698090427184055778881556982522073875086871534827480282673246762964238659357086925013057357691458013302971871303863375931217164054214832628485209199856116285753659953709965940366695592960088316900476841365758959394689531395694978659279080963089016108712481186071175896945916747316290151679015100960154335887743387206840210598229070297415965472523648935514926858631839178140126038664231790134587043293472244194007509563487874687159982698803302,319367462937228135203918786779986371042092116013076262261835430594494278867105580579589083422440634372766572765573021690939346971724626951269470762886024916799818831092773440725935595602601669866404170008114771008350213459067503817936319643877727169505338106030627118596827008229082800228546292845031029715790762982422222280418262671978136354457026656030533481709490675888629291066345800132991414141739916843938439503519744689892803581947568789387304613399317303207879538677431276614830130093774350591132741386241260318016132578335924356721583457107912930251000428813120306717461594814420407006911502851816499790395172684579010493082985623270216843821958078414936385034379692281939805393538077421002838444094796008645671283446911588174040337719172404609040350823449814481988931240454509087643765085364176902646981173138061830132783671697073805565226068154580306433683768364883335323811395619760876035675404007810355977741037189929317104587774892868409493462511303714061372550883051341011355555461090070452456896139215852872477483710946194801596023033812596235745681881677195499544719688276403049773091900981324056262455025003555327873800915669951525099340189581741684521354691999733998534001971228724253209024169098077532215814139463,3,9,0,1,2,37,0,"0x11bbd917db3fc2f32314383dc8877f546eead3c88b0bf2bd1dfc2c79e98776fb4120754c4433e371b224ad42f1f51f15df5501aba70139674666ff51ae8c6d951b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,31,254305038508689178796656596865466297920793710603419745329820254278230348282438430479216319258573537916389087342922296665834587995801117040031510441023040564970220875361016842341960610476452298313499418386337267261951183226555388838798942014168249617693345477908798361546114691600224025270578251712693568544897139458106836474186708257934099466535946015372678513290814272205328119318143155238902622195735971353601772510416409510922700377219466547781297145396132248131445369069909624616291027112483140701243885266911453171636902263813038576485144570374365546697827550423602129787479165487283170996954318084232144161824739776764196969817227421619926848791914593709003449522804441498662827283246822411119356947916763069902188184652790655981301856309808095025452034346294424601527442182393063588077406209814904666350541771921918132395603128098971737624599449612148228422548645850424734504142623339240836995905799419537775435194447582991800552209244906453679608088309084927351195772928258422415146737283602912141594146395112031391181430248307741554734646619069228536304233508225047388129734395773090548271376720791731595132257598924247656166825860920443197972236597896392332102791968125892950397131633949743030646355360134429439096477572921,760841869880961346660848551788158143273069145900879235700508367463758099867898528993848154151311220841628163419635863856540496205798374806335685367009994592170366010792285646524445629549239720926956068035884658454762714860658774860778327046644666692298057066130158706278938871414251816034423802715091836978041346676729534556571475615353757395963325328088105374320475302288812174392629230412491990999549511094551238587797208294279014816628083379541320405296501247774386805148087139580742517068993594782608419464982872235696489644439657453841109285635180388358819845741966361250772080695643193295795247785417311414324041277068864244271003793713663681888781781786081128705065072762945788048402524437457895008470018165007641280461519044484383607298809446309933598113374558718312224495581749115314885931809597704292422539612887975653464631352891926017377455461707405191995931999390261530762976604000600986149542590732032926205004825570411378735509204268999943554163019802530483607517410934522372274182505514049711398434667048505642792049949615962751152365737446275395391341191014335744928595945368644148810341124031097595763848168004074750547917529439556511129143678917805997182056109591446269572893209147388740150430919547071848317011902,9,9,2,4,3,56,0,"0x2a3851b6d67318e2a42c2e2445bcfc4bca59556f47d2bf8296b9a426ea4932f12275962ae53f69f29c106d46967009d255d4d5b0c30c6c25e0974a8849f6da021b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,34,633032136205809849162362796182429677892537834098713462057845639268793435060588995525622986943053069474143387460025650268266289221532115655106232926173208147329305789052128360608385157339720480632085322665803017719576190030276290282873904351089775222349354924098627960125449128601564354677236302958599206233074989162220748812965603248136605806264187375727739723774524995387440282522901681556514030591375690067954495460707379600957177535830694250222270245455872489008797239914901801069372599451718586561977856674415001878494652793261657751789378806328077980455762685695866230663512363768864858017414297774403449165600017478751507493448652040434416930004753543175021488582560903582539014437846215501815408635974471077662333506700086050650145202960512400240030861264386956936719003705386601051786665118420648301887874046717955759519077168034541410298373862202631299385866857845830506986350210579992027167065370051777380231373212544215614637629166591135386642129938925188165465476907120060497484425240842718831755314210700692879350808963330030617250921123189958802082303072148994268477303293047272602489197611294968769930490237358395361466256239328001953998325505328045060537191769842780079681776329209369833455147433692653242373345478549,143617179190727533790618744395842549527168679832135498224910489525946693143892109154860405149150112143416774032144510332180309382343152338184683091812722451533182750664585790822358225683211799997526405294100447490483464620847012503648444822669493429316476261914605002703896479986745269056230687666164136729465389330339196691934391781223196184333166942718163841061641808074698407012345558620729011271373273083116565232427247042651182522915926332776161777041598013860437362174681474729130272339760887719350341284828068276313627204908201045889221795157963756968853677968967744183796820539516361558422270842886989277960520384254963491948242718402459399226848654260670137402768047661888070097284056080170276236864598468148618161332178066671090999611961034310929106866581541577484933361840243668007220976392910412301351512980776903936079000561877937634410862583266667220308135395488721440177553673602196938268582203627088665248831860700297651216787964020918066524209803014094680330774371544036411859950657630702119821147523770267804239718603883697869692668270472538808453717299068611374081469041281478648110000538510605883979485626026978655504470218533768729671002359133639168888205625954023143450787353147330646731793632201810050961243519,14,10,5,5,4,51,0,"0xfda004caed2a1b6972d2eafb7858fad8e35a4f1b9e0b12f866282fd4ef35f8e20bcbf70fbfb9c7f3358810717810aec938e231165c7fb2364468244f4e3ca3631b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,19,38,25340428760934878759481027707755098086967913512403413093690610291838569027603148472232605129673268109376398462445805262940547765821368218011779908702209427463820716758826379022310577744396009337776510578145293847164659782038652665289599794792058500476034573681868593527884989137938338157033110368117509757022366679075155325906500172430326922736774403301402969533836110375431304168293465603935832185348821728459544428165267810624424852936864516543304278838995075517546773074618437222960424444720128386257893699275143395511304541055823570173355529196835463792044928261827400361255727118114519502747986695437671622140129940348043308083536346289461348478967750551854929283870083487436726772116218792054423239143100339574987315495177598317555184278458592015437267764484535516277223509998261970124464422819408531806207681552874583186401320086263940523508296655154319662677996344481563277403742921510215824319003985836213536150660444184807800856235995705997851778536442870306650108690844655414172102635801499735466609354816993738695702270738028675544646853519216325315289985023899355722715313380709979891422743153975114292569509565639956124719177322420312325086000771342859127805539361855875354040560559364155302189604031147658406178013236,573254253359487384737451992077272788997881616420410608834109427820648842354291369661160854495374449671558636979965064659074645284900784569452865437461321180824182915364376075328312545160705035095520681053237612820754280143055565783801521890066678195081701370838515122275065113930458429042159843694915708980594375583358949027258398677260597572399892233710317299300695294117613807493601941172459763961302765902098558964932489622234487466953165922869248768463144033287016324681577916347037419639513637620273960427205968385697519959453771536667715275583160711570107356577316536924356914057640801054995497056562084636397464779251554531282476401342837928243953061368132145842568649467315013458622080180880995763135302605768957600348983723775095909871571584130080225788942711886773708146018429917894438169649250779371692572785183185567594748229263123610079338561678188487115819058211002365715525374123608864954091621296739842783519030941881996055840929753145765409346482348281968146975118298488203025974859440352613365609646862098194187716637310791392989870051824627361696165727394566490671784258316556765299134561668307511013940837411940008181633931084023713427283037987133618181007731439570618440179103845201236593986078102686047962182221,10,10,1,5,4,44,0,"0x5813ecd0807855ebc012c785aa5f0ec3e6fca0109f32333e993d4cff722e4bd230fb7ae3c924b6ef1d2b2d860bbfa50c1a2fb1d85ddc5eb92632b4d85805484b1c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,22,33,372224128669451388466984703542872349633909929583963543366176219204130483503894107876722258286903131688765173060055689093160453642443200191372206671347313376965380789301946961757541171598812891968196044498977409765788802651785126481697249234669127466616759620133633711393041513537370069592223400548094138291691508414154961084700345277966132790729229748668539542913808376769132855271282110307862471136252302371244573717033685564758247243322246981095921754772599658151868231812062713259839911228149692358832309629860958034213645302199073174693603451851071330898644939557377416334788484149196565925458104046642388559143368099721707660069681019661747389892103095132341990564958258529356940900047615554054166981889598405805846782231663618721767840320808750539913597898523535645900021025186812238720317498909774400469677582384367201591436465872559769295843918437852298255691839567234960631956532027400946463635532908372385412629565590672988092754425381904826711589407898645349559297530134403540024948472541571253084290506968589878377325028676949222895177885607953100033376911520589100086100890437356357457218675662257814123456341005523316050283827267520427475228884566664338340767458459099327627925613380492934727332433170263315851772974499,490451563143387784242908736779367815835894235855913674811674054428088515484706312958029945181708111230249804013217640209892720605914256180492588404106813578002792275600726781077757880386993558599863205604277682608742260002274048749068740978651788560057290946041549331966604835865642560594142818551632300892736640272729995920714331190563318334778625393966054580951182129489974141025857711862141732045779253046028721736860429386586541088950591125586347726770659175864922101630366515646760490676702161229809428289900282872472245513085309860744819195648416606853755863941790580127301667906961634385566672699433592456586378539900681106054627815939712600530661002944276424813609798005099725709635066821589753622678694652344207268968699049678409484659853444697759775552829383028111773338109893107769242685239447929380339440636793367252046971190887807263763259649014416217330234240510485821099286416038782793543131578451260668131297672485450742026008264025594844022057043344070534250189808504326563890638788276771545860857792722310506795952424986623276989956488219100437031951119472812222915020961119966885219958469915267325760260054886226141577173455743800156497612555111086566628062486134364669780048832885020373212563508615624507285819129,6,11,4,0,2,88,0,"0x873d2e5d5fe1002f1338584c5b65da0f6048c146d78ce8d0a4dfa96b447e65a23076ffc11e52e0f685c7d3eb32fae3cff62ca80e1e22d1eae7b154b67f6592811b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,22,40,361851835340749521069618271601988899698310646385522525618222558815949615735370588905440651655688597776067608595600314310100017723263831908111290510767619616087365030123367713731100153813072697716032984828292881158994313758238768317009681171421798499927852649702858038229899418384568533900165588859583811228804921184595556193000661112602304263756740638083638682706818108901126671959591993357291198871655940112445621105226761555951164193569211087446804543371096886512399771810999202609158804223380748423393198179124224304640395458743777891376589300397437409945961752315156038518008395634872664807253370944523418185059786783013183123280507762741931748752799596396309898088936320058189259395972899248274190032488293452655003487968581412835035523669980482185911861397865976608055319380411040555335269206124910458857333953538721250994169266336451266672039774000536904562748187412149622196873170595359237488844779358599244790605699360527583199263662957051214071735472657551597084321105790225118147553841100192158981544786435182955693579527056872576908377835139924298110123593862246009669335335000329626773592025918950407920196524242141739384784860849010416610819223244257562494228295346831997946542947092881400254299036913213438500911966105,479854141013072113936839827295588977297012514729591096653179415192410327784922310493762206605586462874465994271454362346567951454648590515005187568103801285426718653031726466661714987786899259531553914533661268560684913079447760580499052440472318593332902249345005240616057713973923917127060802978892788367258224230340267603233928827931352627428290621094484243388798802054655055079959829967575993646745437565606263445960245671597301225462473390241838664036334514359690317993751890172692509262004475922445640326866326310093482676509483047536049754400997490963227699756482649700531676365280240527986081475135109526218297289819422030188098816558387972250005808134484967786386349277288894202901192833661078259330574385496409839291921378801804421893815007413893600233520985269185451634278409442344117942261264647269173115289181140950808034399532874882616975672541205324316220091651109740958482423471471878276227972907317118879139783422164772413393324062521014105988395234697354532727814990086371703130975585541961852440542110388948769909383653386729863205855959188975294346775324591349950575980715819561085362256207172225955892622708144598619958804161847953094943650402854137523387249440087921217665592919369692999174327637844186818924116,8,11,0,4,4,94,0,"0x8e2daa6a6b909a95230974f4c6cddecc677f709ede17463fc0f1a0ce0d3aa3c448d5e06f14d75e50f898d8475b282a4fff3e5d0d965406c8e786fcfa713aaf261b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,30,44316403159845233081561791295433178607547036405769416832175301138490887260104808602560856628249555801294570857499655527890504005248219612776679816784978614519462005651978882197899612169719841024176330119978577300240080905393957561952196382227925754410770864835449835524447869421975650063290245339015577831204682369983587434109887268918895056401899255641918147328775864262611645865086799907724268270718949626942221857835436068018842726243366427406854109799579268097714471982016960169856698205809790302635628263035892028919800481648608396234095962204339686396715350590181902394918686424355193827085348222248233513030053459541012239845899718870300887930951360069299239998447178384818944950468792365525573426259242465042960683845440472295617943595135262630533206947073828455604405017563827608384314922496640827338911575122484248788775087289217447648471804845823884948334346917359418565079164888466648695441590927670033488736577056499810808866486873831028763920304932158880116040789750936834841523962698420641570152699159586404788559277548362332394084726358181113121752443631241695312761965110882450395928642875819641333866252816859207359305632959797240213439221904816071314114582058005846303424320749030382287185671566321593576540057206,548343229172481538953489457317523211877378268141617689213821927442415956631330896516198125339683730102698711614340209660525435072208755090614055406926012267409170398985048517207721945055618400015156278105954398466969741323493550618315366571060020579312404310574838181291324732590006138457611791383431253638131519799853652475771121422260904704086095249586083731450351312950472765186833519761003123259799442827653024270756659676374846235049845688768670987707206933355924325111802177441819752677057451438490377203903717537441209155647897524181677521831175752710124121797604266297059758227230895786654925336419757938143021120718296931151775246979499922801196048654643906510427796801830226031040248421497059492058663010907883703780296644645264084459304786868021053867179571893512821562198403758207541945058360251114868509767168562806164178487262248963405649980605563897128105869307337197827520356829847034802935319283110890164276777850249982174296004875699820968928505373097850754599353580969321402414319129943015932518681317515843224387568165739648506119401144456689379732394106078958113582475220255258992047972501616226399342161554862434131213636440478633762707155220296121246645680232337536555283695286473150534218958039241782314621328,9,12,3,4,2,46,0,"0x9809048c6782485744e9f3685239de573da9855af02bc7bdebc9b1d3cda5826a16f40a4e4bcebd2e75d0ed03e6004e77e63e0b22612b4dfb602591a77441829d1c"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,22,36,264314174765201545826233422419591623792257273457111040178282384675342610679020977124893357032431508229938817147408983318116808333015875842759886341645834735119048586696767682940857248178072252648604517962389161368657169452690998630671293109825748810716183404403478496513885455719447006861851820102919551358235436998649212581850167435876574972087107933360077074314623656781233086992683407852068632973864290734186456078031068196366892291292571114481400317269452940784894054377946008864444476629046126212489349680232734751750541104594023787251066979352252972986197179096376269856534234947314412003561257732822996261687513446567520581545205981842045345305740878273501359722774289774199750727992050164085560275651139639627642344504971665813080867819267606149911972184171084025311866295815379252856590344763398899859117443100583432188753649352732585586477104785241718543186268630672117124395483351932605724403278098767331904796168702318178692298262901744595150456512594296371949570230625415336374349840446379567002869271373858122530519780080676798297126264983446358036915970994456483323429577843024773964789800694118105380327109996782702924435466105581422735182846658551998795738549905849940946626863862035158270523036094471157028305327618,615903468484698242150052483436225459804378680233429803271953144993261022532871241027449165420055127691627280711823721356649908406020922072387661732999575388119235467666017185656781793726330345157073338447610497728994529491710279352172027242992704189721413690423418694716865777059807229494371178327197073052568694707233451265990073034255238256916603396710166404638918181421952105218811175215618141112450074001785698902257113608424807957598852946922162110908135589554992809047373580378245030250652077074889801421380125087019454658070918651566905095067913420187772219685137426918253484598195282899339983344831086953205782085344006570615229663073166381999783979942568622427092761590163784359188095388200257043882760070278995226907777554463358188581778591933097695466913247486068220608385467018249432032345140524516302983591418333758599991900836174642671471325596779899336050775897975822372296616079944096576806566903684232778625411963468351373959150699585796300940460726618885969117566638776287383033700195745408218317534907277035330853779612039396867633787442068975332859227925152364491666362405594562130583610310035776254241896052929427081182880925812799632117633170261803624014802030089996589556201059739404191328380665257175632469825,11,12,3,4,4,40,0,"0x270dbaeb12d999ea99491e60284050fbd03c25217bed0b680f0021baf66841761e07e3e3fde82357d1e1880a4023c0733f8ea2787261dbe55527fbcde70824211b"
0xd226d05e7Db22f4c2f4077D43440E575A2b854fd,20,37,85878993003100705034380253332281636674906345078799924830454963773153283300423523331750983284596697603444168246545249762800362612546676680927065927584134660693451047404379198259872399359626607746871879607338598850039985306723546524970923059539572646852497239799772145550370938918448149735127993674860069300060466399965984011248962799956690218843276467737397117362382781991982027361579516302510546982404713094403828667222245928951487579407252796079480129121351419592989943116467934293901924305874315757713978300954226392699844082330748015482639597369908229875489696178870263780744557765251928777196006962958699172737530268926766218988004836589733207590382448834430475094990617186064898478714180656693014799450732197042385928252067494730742782455505955285289469089025135125825256412090222000276515361376933722360850623939928240204431876838754431198787104549856129332575067746846737603000482518356689418305944461541931865996313338213730297062044777806673322185606645358805734076204357391628741644325879546504847804154525087897285459212162394492414348927082494361435067770649483791023425056228121571487100527773662940328045828621429792203283791233666467006105141679755026505340811666822919945821376007260242705025232816224136244733177083,664451203099919203961800621179918240875184009829266274587381499105204535578204583112856786398344704156537089777618217277855085755324049498545970139606613783735216376226553760478366065460205009086611830791592066392666829524415196560411804962062380193165479464074348191161010315118046371349433791297482387589133772367076112950526809095975125067620202582082872847977547608987606718850223370809511284175186786416335502870297285177558552424455397807460036368958416004930043937001643377035623256067212337257532744635925730974445979439465051473942206824413580540146131577190983330195194478278675861260064036909310020438245690588078174034720980030406967714273780057437046682839886897988252001220062092614911930874458905455141128665816767506437067561946215471205039514364223043996257860284048351155361254705927938675883467312297194251298229208581647902960950575192571852552530735236310931664702302499348426281759611337494405157856501706607150550720342150453287859103980947675467380211781480728667000857937377050327934799559666932634856074082018578811155597284378171709894037283525152515321832977658069681419347614715344110773628859277296487423733668066046440885611907327668008789758821477453135630519318122730125623314849420007808040986386577,8,13,3,0,5,37,0,"0xa26db30f34957af511193d6841adbf91bc0a765438e29634548aafe99a65740015873b86376c117a58b3ae8cb153834840255b3fab71a0a08348d554c2c9d2a81b"
